name,org,url,id,Label,citations,h_index,study_field
giuseppe lisanti,University of Bologna,https://scholar.google.com/citations?hl=it&user=OdDBed4AAAAJ,10,"giuseppe lisanti - University of Bologna - ['Computer Vision', 'Pattern Recognition', 'Machine Learning', 'Deep Learning']",1530,18,"['Computer Vision', 'Pattern Recognition', 'Machine Learning', 'Deep Learning']"
michele lombardi,University of Bologna,https://scholar.google.com/citations?hl=it&user=lJJ6EOMAAAAJ,11,"michele lombardi - University of Bologna - ['Artificial Intelligence', 'Combinatorial Optimization', 'Constraint Programming', 'Machine Learning', 'Operations Research']",2016,24,"['Artificial Intelligence', 'Combinatorial Optimization', 'Constraint Programming', 'Machine Learning', 'Operations Research']"
ugo dal lago,University of Bologna,https://scholar.google.com/citations?hl=it&user=AeUL3vwAAAAJ,12,"ugo dal lago - University of Bologna - ['Programming Language Theory', 'Implicit Computational Complexity', 'Quantum Computing', 'Probabilistic Programming', 'Cryptography']",3310,33,"['Programming Language Theory', 'Implicit Computational Complexity', 'Quantum Computing', 'Probabilistic Programming', 'Cryptography']"
maurizio gabbrielli,University of Bologna,https://scholar.google.com/citations?hl=it&user=GHwf1joAAAAJ,13,"maurizio gabbrielli - University of Bologna - ['Programming languages', 'artificial intelligence', 'SOC']",3261,32,"['Programming languages', 'artificial intelligence', 'SOC']"
mirco musolesi,University College London,https://scholar.google.com/citations?hl=it&user=8t4SqVwAAAAJ,14,"mirco musolesi - University College London - ['Machine Intelligence', 'Machine Learning', 'Reinforcement Learning', 'Generative Models', 'AI and Society']",17188,58,"['Machine Intelligence', 'Machine Learning', 'Reinforcement Learning', 'Generative Models', 'AI and Society']"
giuseppe notarstefano,University of Bologna,https://scholar.google.com/citations?hl=it&user=CIpzCCEAAAAJ,15,"giuseppe notarstefano - University of Bologna - ['Control Theory', 'Optimization', 'Robotics']",3147,27,"['Control Theory', 'Optimization', 'Robotics']"
andrea giovanni nuzzolese,CNR,https://scholar.google.com/citations?hl=it&user=5PFmyuIAAAAJ,16,"andrea giovanni nuzzolese - CNR - ['Web Science', 'Semantic Web', 'Linked Data', 'Ontology Design', 'Knowledge Extraction']",2694,29,"['Web Science', 'Semantic Web', 'Linked Data', 'Ontology Design', 'Knowledge Extraction']"
andrea omicini,Alma Mater Studiorum-Università di Bologna,https://scholar.google.com/citations?hl=it&user=cLRxLiwAAAAJ,17,"andrea omicini - Alma Mater Studiorum-Università di Bologna - ['Artificial Intelligence', 'Software Engineering', 'Autonomous Systems', 'Multi-Agent Systems', 'Computational Logic']",11001,51,"['Artificial Intelligence', 'Software Engineering', 'Autonomous Systems', 'Multi-Agent Systems', 'Computational Logic']"
sasu tarkoma,University of Helsinki,https://scholar.google.com/citations?hl=it&user=UTRmf5MAAAAJ,18,"sasu tarkoma - University of Helsinki - ['Internet technology', 'mobile computing', 'Data Science', 'middleware', '#UnivHelsinkiCS']",12039,51,"['Internet technology', 'mobile computing', 'Data Science', 'middleware', '#UnivHelsinkiCS']"
lucy yardley,University of Bristol,https://scholar.google.com/citations?hl=it&user=pn6ggSMAAAAJ,19,"lucy yardley - University of Bristol - ['health psychology', 'behaviour change interventions', 'digital health']",63641,107,"['health psychology', 'behaviour change interventions', 'digital health']"
